City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Nguruka,TZ,-5.1092,31.0419,72.39,69,100,3.02,overcast clouds
302,Omboue,GA,-1.5746,9.2618,78.75,90,100,6.2,overcast clouds
303,Kruisfontein,ZA,-34.0033,24.7314,53.89,88,1,6.31,clear sky
304,Syrskoye,RU,52.5744,39.4966,51.91,83,100,5.66,overcast clouds
305,Augusta,DE,48.3667,10.8833,66.72,77,0,4.61,clear sky
306,Kulotino,RU,58.45,33.3833,44.71,81,19,5.95,few clouds
307,Taganak,PH,6.0833,118.3,77.14,76,100,5.1,overcast clouds
308,Kushima,JP,31.4583,131.2333,62.2,87,100,4.99,overcast clouds
309,Pochutla,MX,15.7432,-96.4661,91.81,52,87,8.43,overcast clouds
310,Havelock,US,34.8791,-76.9013,78.98,80,75,11.5,broken clouds
311,Yairipok,IN,24.6667,94.0667,67.23,97,30,2.91,scattered clouds
312,Yeppoon,AU,-23.1333,150.7333,64.18,91,0,3.53,clear sky
313,Shentala,RU,54.45,51.4833,48.04,88,86,8.03,overcast clouds
314,Ibotirama,BR,-12.1853,-43.2206,92.82,26,100,6.35,overcast clouds
315,Tanhacu,BR,-14.0214,-41.2481,82.9,45,100,4.56,overcast clouds
316,Bengkulu,ID,-3.8004,102.2655,78.67,90,70,4.72,broken clouds
317,Mildura,AU,-34.2,142.15,57.07,92,0,4.79,clear sky
318,Tukrah,LY,32.5341,20.5791,65.35,81,0,5.88,clear sky
319,Inhambane,MZ,-23.865,35.3833,64.38,94,20,3.44,few clouds
320,Zalantun,CN,48.0,122.7167,45.84,63,84,7.65,broken clouds
321,Minas,UY,-34.3759,-55.2377,64.83,53,0,4.76,clear sky
322,Luderitz,NA,-26.6481,15.1594,62.69,48,27,14.72,scattered clouds
323,Tirlyanskiy,RU,54.2109,58.5806,42.28,90,92,5.28,overcast clouds
324,Coquimbo,CL,-29.9533,-71.3436,58.73,77,40,12.66,scattered clouds
325,Gunib,RU,42.3876,46.9651,54.1,49,100,7.36,overcast clouds
326,Beroroha,MG,-21.6667,45.1667,75.7,42,96,2.98,overcast clouds
327,Zerbst,DE,51.9667,12.0833,58.32,77,0,6.51,clear sky
328,Berbera,SO,10.4396,45.0143,91.2,33,34,3.31,scattered clouds
329,Aykhal,RU,66.0,111.5,33.22,95,100,4.85,overcast clouds
330,Suleja,NG,9.1758,7.1808,82.85,56,100,3.24,light rain
331,Bubaque,GW,11.2833,-15.8333,78.78,83,9,20.09,clear sky
332,Kieta,PG,-6.2167,155.6333,77.02,79,100,2.48,overcast clouds
333,Kanniyakumari,IN,8.0833,77.5667,79.57,87,100,18.19,overcast clouds
334,Grande-Synthe,FR,51.0154,2.2998,60.98,83,22,7.11,few clouds
335,Praia Da Vitoria,PT,38.7333,-27.0667,64.65,82,40,21.27,scattered clouds
336,Port-Cartier,CA,50.0334,-66.8654,66.31,58,36,6.38,scattered clouds
337,Banda Aceh,ID,5.5577,95.3222,80.78,82,92,1.72,overcast clouds
338,Sao Jose Do Belmonte,BR,-7.8614,-38.7597,85.37,45,100,9.64,overcast clouds
339,Necochea,AR,-38.5473,-58.7368,55.78,54,4,15.68,clear sky
340,Gushikawa,JP,26.3544,127.8686,74.43,96,100,12.66,light rain
341,Upernavik,GL,72.7868,-56.1549,20.1,74,14,5.14,few clouds
342,Sept-Iles,CA,50.2001,-66.3821,66.63,22,20,4.61,few clouds
343,Diffa,NE,13.3154,12.6113,89.78,10,5,4.74,clear sky
344,Aksarka,RU,66.5606,67.7975,40.14,99,100,11.79,moderate rain
345,Qasigiannguit,GL,68.8193,-51.1922,28.65,69,66,4.81,broken clouds
346,Encheng,CN,22.1839,112.3026,77.97,77,100,1.95,moderate rain
